abstract,results,authors,title
"Despite receiving antiretroviral therapy (ART), an increasing number of adolescents and young adults with perinatally acquired HIV (PHIVAYA) are at risk of developing premature senescence and aging-associated illnesses, including cancer. Given this concern, it is crucial to assess aging biomarkers and their correlation with the HIV reservoir in order to comprehensively characterize and monitor these individuals. Fifty-five PHIVAYA (median age: 23, interquartile range [IQR]: 20-27 years, and 21 [18-23] years on ART at the time of study sampling) were studied along with 23 age-matched healthy controls. The PHIVAYA exhibited significantly higher percentages of activated, senescent, exhausted CD4 and CD8 T cells, shorter telomeres, reduced thymic output, and higher levels of circulating inflammatory markers (PAMPs, DAMPs, and pro-inflammatory cytokines IL-6, IL-8, and TNFα) as well as denervation biomarkers (neural cell adhesion molecule 1 [NCAM1] and C-terminal Agrin fragment [CAF]), compared to controls. HIV-DNA levels positively correlated with activated, senescent, exhausted CD4 and CD8 T cells, circulating biomarkers levels, and inversely with regulatory T and B cells and telomere length. According to their viremia over time, PHIVAYA were subgrouped into 14 Not Suppressed (NS)-PHIVAYA and 41 Suppressed (S)-PHIVAYA, of whom 6 who initiated ART within one year of age and maintained sustained viral suppression overtime were defined as Early Suppressed (ES)-PHIVAYA and the other 35 as Late Suppressed (LS)-PHIVAYA. ES-PHIVAYA exhibited significantly lower HIV-DNA reservoir, decreased percentages of senescent and exhausted CD4 and CD8 T cells, reduced levels of circulating inflammatory and denervation biomarkers, but longer telomere compared to LS- and NS-PHIVAYA. They differed significantly from healthy controls only in a few markers, including higher percentages of regulatory T and B cells, and higher levels of DAMPs. Overall, these results underscore the importance of initiating ART early and maintaining viral suppression to limit the establishment of the viral reservoir and to counteract immune and cellular premature aging. These findings also suggest new approaches for minimally invasive monitoring of individuals at high risk of developing premature aging and age-related illnesses.",,"[{'lastname': 'Petrara', 'firstname': 'Maria Raffaella', 'initials': 'MR', 'affiliation': 'Immunology and Molecular Oncology Diagnostics, Veneto Institute of Oncology IOV-IRCCS, Padova, Italy.\nOncology and Immunology Section, Department of Surgery, Oncology and Gastroenterology, University of Padova, Padova, Italy.'}, {'lastname': 'Ruffoni', 'firstname': 'Elena', 'initials': 'E', 'affiliation': 'Immunology and Molecular Oncology Diagnostics, Veneto Institute of Oncology IOV-IRCCS, Padova, Italy.'}, {'lastname': 'Carmona', 'firstname': 'Francesco', 'initials': 'F', 'affiliation': 'Immunology and Molecular Oncology Diagnostics, Veneto Institute of Oncology IOV-IRCCS, Padova, Italy.'}, {'lastname': 'Cavallari', 'firstname': 'Ilaria', 'initials': 'I', 'affiliation': 'Immunology and Molecular Oncology Diagnostics, Veneto Institute of Oncology IOV-IRCCS, Padova, Italy.'}, {'lastname': 'Zampieri', 'firstname': 'Sandra', 'initials': 'S', 'affiliation': 'Department of Surgery, Oncology and Gastroenterology, University of Padova, Padova, Italy.\nDepartment of Biomedical Sciences, University of Padova, Padova, Italy.'}, {'lastname': 'Morello', 'firstname': 'Marzia', 'initials': 'M', 'affiliation': 'Immunology and Molecular Oncology Diagnostics, Veneto Institute of Oncology IOV-IRCCS, Padova, Italy.'}, {'lastname': 'Del Bianco', 'firstname': 'Paola', 'initials': 'P', 'affiliation': 'Clinical Research Unit, Veneto Institute of Oncology IOV-IRCCS, Padova, Italy.'}, {'lastname': 'Rampon', 'firstname': 'Osvalda', 'initials': 'O', 'affiliation': ""Department of Women's and Children's Health, Division of Pediatric Infectious Diseases, University of Padova, Padova, Italy.""}, {'lastname': 'Cotugno', 'firstname': 'Nicola', 'initials': 'N', 'affiliation': ""Clinical and Research Unit of Clinical Immunology and Vaccinology, Bambino Gesù Children's Hospital, IRCCS, Roma, Italy.""}, {'lastname': 'Palma', 'firstname': 'Paolo', 'initials': 'P', 'affiliation': ""Clinical and Research Unit of Clinical Immunology and Vaccinology, Bambino Gesù Children's Hospital, IRCCS, Roma, Italy.""}, {'lastname': 'Rossi', 'firstname': 'Paolo', 'initials': 'P', 'affiliation': ""Clinical and Research Unit of Clinical Immunology and Vaccinology, Bambino Gesù Children's Hospital, IRCCS, Roma, Italy.""}, {'lastname': 'Giaquinto', 'firstname': 'Carlo', 'initials': 'C', 'affiliation': ""Department of Women's and Children's Health, Division of Pediatric Infectious Diseases, University of Padova, Padova, Italy.""}, {'lastname': 'Giunco', 'firstname': 'Silvia', 'initials': 'S', 'affiliation': 'Immunology and Molecular Oncology Diagnostics, Veneto Institute of Oncology IOV-IRCCS, Padova, Italy.\nOncology and Immunology Section, Department of Surgery, Oncology and Gastroenterology, University of Padova, Padova, Italy.'}, {'lastname': 'De Rossi', 'firstname': 'Anita', 'initials': 'A', 'affiliation': 'Immunology and Molecular Oncology Diagnostics, Veneto Institute of Oncology IOV-IRCCS, Padova, Italy.\nOncology and Immunology Section, Department of Surgery, Oncology and Gastroenterology, University of Padova, Padova, Italy.'}]",HIV reservoir and premature aging: risk factors for aging-associated illnesses in adolescents and young adults with perinatally acquired HIV.
"Transgender women (hereafter ""trans women"") face social marginalization, stigma, and discrimination and experience a high burden of HIV. More recently, trans women have been identified as having a high risk for hepatitis C (HCV) infection. The interaction between these two diseases and the risks for HIV/HCV co-infection among trans women are understudied.
To characterize epidemiological, behavioral, and socio-structural interactions between HIV and HCV infections among trans women.
This cross-sectional study examined data from a community-based survey of trans women in San Francisco recruited through respondent-driven sampling (RDS) in 2019/2020. Face-to-face interviews collected data on demographics, medical history, drug injection practices, sexual behavior, and socio-structural factors (e.g., poverty, housing insecurity, incarceration, social support). HIV and HCV antibodies were detected using oral fluid rapid tests and prior diagnosis and treatment were collected by self-report. Blood specimens were collected to confirm antibodies using ELISA. Multinomial logistic regression analysis characterized factors associated with HIV infection alone, HCV infection alone, and HIV/HCV co-infection compared to neither infection.
Among 201 trans women recruited, HIV prevalence was 42.3%; HCV infection by history or current seroprevalence was 28.9%; evidence for both HIV and HCV infection was present for 18.9%. Two-thirds of trans women (67.2%) had been incarcerated; 30.8% had ever injected drugs. History of injection drug use and receiving emotional support from family were factors found in common for HIV infection, HCV infection, and HIV/HCV co-infection compared to no infection. Having a sexual partner who injects drugs was associated with HIV infection alone. Not lacking care due to cost and older age were associated with co-infection. Older age was also associated with HCV infection. Of trans women with HIV infection, 91.8% had accessed HIV care, whereas only 62% with HCV had accessed some form of care.
Our study found high levels of HIV, HCV, and HIV/HCV co-infection among trans women in San Francisco. We found common associations between HIV and HCV through injection practices and emotional support, but having a sexual partner who injects drugs was not associated with HCV infection alone or co-infection. We note a substantial gap in the treatment of HCV for trans women, including those in HIV care, that needs to be urgently addressed.","Among 201 trans women recruited, HIV prevalence was 42.3%; HCV infection by history or current seroprevalence was 28.9%; evidence for both HIV and HCV infection was present for 18.9%. Two-thirds of trans women (67.2%) had been incarcerated; 30.8% had ever injected drugs. History of injection drug use and receiving emotional support from family were factors found in common for HIV infection, HCV infection, and HIV/HCV co-infection compared to no infection. Having a sexual partner who injects drugs was associated with HIV infection alone. Not lacking care due to cost and older age were associated with co-infection. Older age was also associated with HCV infection. Of trans women with HIV infection, 91.8% had accessed HIV care, whereas only 62% with HCV had accessed some form of care.","[{'lastname': 'Chiu', 'firstname': 'Izzy', 'initials': 'I', 'affiliation': 'Fielding School of Public Health, University of California Los Angeles, Los Angeles, CA, United States of America.\nCenter for Public Health Research, San Francisco Department of Public Health, San Francisco, CA, United States of America.'}, {'lastname': 'Cano', 'firstname': 'Damiana', 'initials': 'D', 'affiliation': 'Center for Public Health Research, San Francisco Department of Public Health, San Francisco, CA, United States of America.\nUniversity of California Berkeley, Berkeley, CA, United States of America.'}, {'lastname': 'Leathers', 'firstname': 'Matisse', 'initials': 'M', 'affiliation': 'Center for Public Health Research, San Francisco Department of Public Health, San Francisco, CA, United States of America.\nUniversity of California Berkeley, Berkeley, CA, United States of America.'}, {'lastname': 'Turner', 'firstname': 'Caitlin M', 'initials': 'CM', 'affiliation': 'Department of Epidemiology and Biostatistics, University of California, San Francisco, San Francisco, CA, United States of America.'}, {'lastname': 'Trujillo', 'firstname': 'Dillon', 'initials': 'D', 'affiliation': 'Fielding School of Public Health, University of California Los Angeles, Los Angeles, CA, United States of America.'}, {'lastname': 'Sicro', 'firstname': 'Sofia', 'initials': 'S', 'affiliation': 'Center for Public Health Research, San Francisco Department of Public Health, San Francisco, CA, United States of America.'}, {'lastname': 'Arayasirikul', 'firstname': 'Sean', 'initials': 'S', 'affiliation': 'Department of Health, Society, & Behavior, University of California, Irvine, Irvine, CA, United States of America.'}, {'lastname': 'Taylor', 'firstname': 'Kelly D', 'initials': 'KD', 'affiliation': 'Department of Epidemiology and Biostatistics, University of California, San Francisco, San Francisco, CA, United States of America.'}, {'lastname': 'Wilson', 'firstname': 'Erin C', 'initials': 'EC', 'affiliation': 'Center for Public Health Research, San Francisco Department of Public Health, San Francisco, CA, United States of America.'}, {'lastname': 'McFarland', 'firstname': 'Willi', 'initials': 'W', 'affiliation': 'Center for Public Health Research, San Francisco Department of Public Health, San Francisco, CA, United States of America.\nDepartment of Epidemiology and Biostatistics, University of California, San Francisco, San Francisco, CA, United States of America.'}]","HIV and hepatitis C virus infection and co-infection among trans women in San Francisco, 2020."
"This study aims to clarify the pathogenic mechanism of interstitial cystitis (IC), which has led to uncertainty in its diagnosis and treatment. We examined data from 18 interstitial cystitis with Hunner lesions (HIC) and 18 interstitial cystitis without Hunner lesions (NHIC) patients, including their clinical information, urodynamic test results, and maximum bladder capacity. A 1-year follow-up tracked disease progression. Postoperative recovery showed that HIC patients experienced significantly greater improvements in Visual Analog Scale pain scores compared to NHIC patients (P = .0049). This trend continued at the 6-month mark (P = .0056). Over the 1-year follow-up, NHIC patients exhibited a statistically significant improvement in Pain and Urgency/Frequency scores, while HIC patients had a gradual overall score increase from preoperative to postoperative stages. However, no significant differences were observed in either group at 1 year postoperatively compared to preoperative scores. This study revealed distinct differences between HIC and NHIC patients, including reduced bladder volumes and more severe nociceptive pain in HIC patients. Early analgesic interventions effectively alleviated discomfort in HIC patients. The combination of cystoscopic hydrodistention and water dilatation was highly effective in relieving pain symptoms in HIC patients but increased the risk of recurrence, necessitating recurrent bladder infusion and timely therapeutic adjustments. In contradiction to prior paradigms, the surgical intervention of cystoscopic water hydrodistention also yielded favorable outcomes among NHIC patients.",,"[{'lastname': 'Zhu', 'firstname': 'Lin', 'initials': 'L', 'affiliation': 'Department of Dermatology, Sexually Transmitted Diseases, and Medical Aesthetics, Affiliated Beijing Chaoyang Hospital of Capital Medical University, Beijing, China.'}, {'lastname': 'Ke', 'firstname': 'Hanwei', 'initials': 'H', 'affiliation': ""Department of Urology, Peking University People's Hospital, Beijing, China.\nPeking University Applied Lithotripsy Institute, Peking University People's Hospital, Beijing, China.""}, {'lastname': 'Wang', 'firstname': 'Qi', 'initials': 'Q', 'affiliation': ""Department of Urology, Peking University People's Hospital, Beijing, China.\nPeking University Applied Lithotripsy Institute, Peking University People's Hospital, Beijing, China.""}, {'lastname': 'Xu', 'firstname': 'Kexin', 'initials': 'K', 'affiliation': ""Department of Urology, Peking University People's Hospital, Beijing, China.\nPeking University Applied Lithotripsy Institute, Peking University People's Hospital, Beijing, China.""}]",Comparative analysis of surgical prognostic between HIC and NHIC patients after cystoscopy with hydrodistention.
"According to the 2021 CDC sexually transmitted disease surveillance report, national cases of syphilis and gonorrhea continue to rise. Currently, South Dakota ranks #1 in syphilis and #2 in gonorrhea cases per 100,000 population. The higher incidence increases the likelihood South Dakota clinicians will encounter different presentations of syphilis and gonorrhea. Recently, we have seen patients presenting with acute STI related inflammatory arthritis. This review discusses the acute arthritic presentations associated with gonorrhea and syphilis and its treatment.",,"[{'lastname': 'Lamfers', 'firstname': 'Randall', 'initials': 'R', 'affiliation': 'University of South Dakota Sanford School of Medicine, Sioux Falls, South Dakota.'}, {'lastname': 'Fanciullo', 'firstname': 'Rachael', 'initials': 'R', 'affiliation': 'University of South Dakota Sanford School of Medicine, Sioux Falls, South Dakota.'}]",Acute Arthritis Presentations of Gonorrhea and Syphilis - A Concise Update.
,,"[{'lastname': 'Staraj Bajcic', 'firstname': 'Tanja', 'initials': 'T', 'affiliation': 'Department of Epidemiology of Communicable and Chronic Non-Communicable Diseases, Teaching Institute of Public Health of the Primorje-Gorski Kotar County, Kresimirova 52 a, 51000 Rijeka, Croatia.'}, {'lastname': 'Sorta-Bilajac Turina', 'firstname': 'Iva', 'initials': 'I', 'affiliation': 'Department of Public Health, Teaching Institute of Public Health of the Primorje-Gorski Kotar County, Kresimirova 52 a, 51000 Rijeka, Croatia.\nDepartment of Environmental Medicine, Faculty of Medicine, University of Rijeka, Brace Branchetta 20, 51000 Rijeka, Croatia.'}, {'lastname': 'Lucijanic', 'firstname': 'Marko', 'initials': 'M', 'affiliation': 'Division of Haematology, University Hospital Dubrava, Av. Gojka Suska 6, 10000 Zagreb, Croatia.\nInternal Medicine Department, School of Medicine, University of Zagreb, Salata 3, 10000 Zagreb, Croatia.'}, {'lastname': 'Sinozic', 'firstname': 'Tamara', 'initials': 'T', 'affiliation': 'Private Family Medicine Practice, Barba Rike 5a, 51417 Moscenicka Draga, Croatia.\nDepartment of Family Medicine, Faculty of Medicine, University of Rijeka, Brace Branchetta 20, 51000 Rijeka, Croatia.'}, {'lastname': 'Vuckovic', 'firstname': 'Mirela', 'initials': 'M', 'affiliation': 'Department of Physiotherapy, Faculty of Health Studies, University of Rijeka, Viktora Cara Emina 5, 51000 Rijeka, Croatia.'}, {'lastname': 'Bazdaric', 'firstname': 'Ksenija', 'initials': 'K', 'affiliation': 'Department of Basic Medical Sciences, Faculty of Health Studies, University of Rijeka, Viktora Cara Emina 5, 51000 Rijeka, Croatia.'}]","Cyberchondria, Health Literacy, and Perception of Risk in Croatian Patients with Risk of Sexually Transmitted Infections and HIV-A Cross-Sectional Study."
"In 2021, Nigeria had an estimated 1.9 million people living with the human immunodeficiency virus (PLHIV) and 1.7 million (90%) on antiretroviral therapy (ART). 
This meta-analysis followed the Preferred Reporting Items for Systematic Reviews and Meta-analyses (PRISMA) 2020 guidelines. We searched PubMed, Embase, PsychINFO, CINAHL, Global Index Medicus, and Cochrane Library. Studies were included if they reported on ART retention in care among PLHIV in Nigeria. The random-effects meta-analyses were used to combine the studies that had complete retention data. The I
The search yielded 966 unique articles, of which 52 studies met the inclusion criteria for the meta-analysis, and four experimental studies were split into their component arms. The total number of study participants was 563,410, and the pooled retention rate was 72% (95% CI: 67%, 76%; I
In Nigeria, the pooled ART retention rate is less than optimal to achieve the UNAIDS goal of 95%, thus developing new models for ART retention is needed.","The search yielded 966 unique articles, of which 52 studies met the inclusion criteria for the meta-analysis, and four experimental studies were split into their component arms. The total number of study participants was 563,410, and the pooled retention rate was 72% (95% CI: 67%, 76%; I","[{'lastname': 'Olawepo', 'firstname': 'John O', 'initials': 'JO', 'affiliation': 'Department of Health Sciences, Bouvé College of Health Sciences, Northeastern University, Boston, USA.\nCenter for Translation and Implementation Research (CTAIR), University of Nigeria, Enugu, Nigeria.'}, {'lastname': ""O'Brien"", 'firstname': 'Katherine', 'initials': 'K', 'affiliation': 'Department of Health Sciences, Bouvé College of Health Sciences, Northeastern University, Boston, USA.'}, {'lastname': 'Papasodoro', 'firstname': 'Julia', 'initials': 'J', 'affiliation': 'Department of Health Sciences, Bouvé College of Health Sciences, Northeastern University, Boston, USA.'}, {'lastname': 'Coombs', 'firstname': 'Philip E', 'initials': 'PE', 'affiliation': 'Department of Research and Instruction, Northeastern University Library, Northeastern University, Boston, USA.'}, {'lastname': 'Singh', 'firstname': 'Neha', 'initials': 'N', 'affiliation': 'Department of Health Sciences, Bouvé College of Health Sciences, Northeastern University, Boston, USA.'}, {'lastname': 'Gupta', 'firstname': 'Shubhi', 'initials': 'S', 'affiliation': 'Department of Health Informatics, Khoury College of Computer Science, Bouvé College of Health Sciences, Northeastern University, Boston, USA.'}, {'lastname': 'Bhan', 'firstname': 'Aarushi', 'initials': 'A', 'affiliation': 'Department of Biology, College of Science, Northeastern University, Boston, MA, USA.'}, {'lastname': 'Olakunde', 'firstname': 'Babayemi O', 'initials': 'BO', 'affiliation': 'Center for Translation and Implementation Research (CTAIR), University of Nigeria, Enugu, Nigeria.\nDepartment of Population and Community Health, University of North Texas Health Science Center, Fort Worth, Texas, USA.'}, {'lastname': 'Ezeanolue', 'firstname': 'Echezona E', 'initials': 'EE', 'affiliation': 'Center for Translation and Implementation Research (CTAIR), University of Nigeria, Enugu, Nigeria.\nHealthy Sunrise Foundation, Las Vegas, Nevada, USA.'}]",Retention in Care Among People Living with HIV in Nigeria: A Systematic Review and Meta-analysis.
,,"[{'lastname': 'Zhang', 'firstname': 'Shan', 'initials': 'S', 'affiliation': 'State Key Laboratory of Pathogen and Biosecurity, Academy of Military Medical Sciences, Beijing, China.'}, {'lastname': 'Jiang', 'firstname': 'Yufei', 'initials': 'Y', 'affiliation': 'State Key Laboratory of Pathogen and Biosecurity, Academy of Military Medical Sciences, Beijing, China.'}, {'lastname': 'Yu', 'firstname': 'Yonghui', 'initials': 'Y', 'affiliation': 'State Key Laboratory of Pathogen and Biosecurity, Academy of Military Medical Sciences, Beijing, China.'}, {'lastname': 'Ouyang', 'firstname': 'Xuan', 'initials': 'X', 'affiliation': 'State Key Laboratory of Pathogen and Biosecurity, Academy of Military Medical Sciences, Beijing, China.'}, {'lastname': 'Zhou', 'firstname': 'Dongsheng', 'initials': 'D', 'affiliation': 'State Key Laboratory of Pathogen and Biosecurity, Academy of Military Medical Sciences, Beijing, China.'}, {'lastname': 'Song', 'firstname': 'Yajun', 'initials': 'Y', 'affiliation': 'State Key Laboratory of Pathogen and Biosecurity, Academy of Military Medical Sciences, Beijing, China.'}, {'lastname': 'Jiao', 'firstname': 'Jun', 'initials': 'J', 'affiliation': 'State Key Laboratory of Pathogen and Biosecurity, Academy of Military Medical Sciences, Beijing, China.'}]",Autophagy: the misty lands of 
,,"[{'lastname': 'Magdy', 'firstname': 'Mona', 'initials': 'M', 'affiliation': 'Department of Biomedical Informatics and Medical Statistics, Medical Research Institute, Alexandria University, 21561 Alexandria, Egypt.'}, {'lastname': 'Zaki', 'firstname': 'Adel', 'initials': 'A', 'affiliation': 'Department of Biomedical Informatics and Medical Statistics, Medical Research Institute, Alexandria University, 21561 Alexandria, Egypt.'}, {'lastname': 'Osman', 'firstname': 'Sherif Omar', 'initials': 'SO', 'affiliation': 'Tropical Health Department, High Institute of Public Health, Alexandria University, 21561 Alexandria, Egypt.'}, {'lastname': 'Abd El-Wahab', 'firstname': 'Ekram W', 'initials': 'EW', 'affiliation': 'Tropical Health Department, High Institute of Public Health, Alexandria University, 21561 Alexandria, Egypt.'}, {'lastname': 'Abd Elhameed', 'firstname': 'Asmaa', 'initials': 'A', 'affiliation': 'Department of Biomedical Informatics and Medical Statistics, Medical Research Institute, Alexandria University, 21561 Alexandria, Egypt.'}]",Predictors of Adherence to Antiretroviral Therapy among People Living with HIV in Northern Egypt.
"Across Canada, Child Protection Services (CPS) disrupt Indigenous families by apprehending their children at alarmingly high rates. The harms borne by children in out-of-home care (OoHC) have been extensively documented. We examined the impact of OoHC on Manitoba children's health and legal system outcomes to provide rigorous evidence on how discretionary decision-making by CPS agencies can affect these outcomes.
In partnership with First Nations researchers, we used linked administrative data to identify Manitoba children (born 2007-2018) served by First Nations and other Manitoba CPS agencies. We compared those taken into OoHC (n = 19,324) with those never in care but with an open CPS file due to child protection concerns (n = 27,290). We used instrumental variable analysis (CPS agency rates of OoHC as the instrument) to obtain odds ratios (aOR) and 95% confidence intervals adjusted for child, maternal, and family factors.
Mean age (yrs ± standard deviation) at first CPS contact for children taken into OoHC was 2.8 ± 3.7 (First Nations) and 3.0 ± 3.8 (other), and for children never in care was 4.5 ± 4.5 (First Nations) and 5.1 ± 4.7 (other). Among children served by a First Nations agency, males made up 50.6% (n = 5496) in OoHC and 51.0% (n = 6579) never in care. Among children served by other agencies, males made up 51.0% (n = 4324) in OoHC and 51.0% (n = 7428) never in care. Odds of teen pregnancy (First Nations aOR 3.69, 1.40-9.77; other aOR 5.10, 1.83-14.25), teen birth (First Nations aOR 3.23, 1.10-9.49; other aOR 5.06, 1.70-15.03), and sexually transmitted infections (other aOR 7.21, 3.63-14.32) were higher for children in care than children never in care, as were odds of being accused (other aOR 2.71, 1.27-5.75), a victim (other aOR 1.68, 1.10-2.56), charged with a crime (other aOR 2.68, 1.21-5.96), or incarcerated (First Nations aOR 3.64, 1.95-6.80; other aOR 1.19, 1.19-8.04).
Being in OoHC worsened children's health and legal system outcomes. The importance of reducing the number of children taken into care was emphasized in briefings to provincial and First Nations governments. The government response will be monitored.
Social Sciences and Humanities Research Council (no. 890-2018-0029).",,"[{'lastname': 'Brownell', 'firstname': 'Marni', 'initials': 'M', 'affiliation': 'Manitoba Centre for Health Policy, University of Manitoba, Canada.'}, {'lastname': 'Nickel', 'firstname': 'Nathan C', 'initials': 'NC', 'affiliation': 'Manitoba Centre for Health Policy, University of Manitoba, Canada.'}, {'lastname': 'Frank', 'firstname': 'Kayla', 'initials': 'K', 'affiliation': 'First Nations Family Advocate Office, Assembly of Manitoba Chiefs, Canada.'}, {'lastname': 'Flaten', 'firstname': 'Lisa', 'initials': 'L', 'affiliation': 'Manitoba Centre for Health Policy, University of Manitoba, Canada.'}, {'lastname': 'Sinclair', 'firstname': 'Scott', 'initials': 'S', 'affiliation': 'Government of Manitoba, Canada.'}, {'lastname': 'Sinclair', 'firstname': 'Stephanie', 'initials': 'S', 'affiliation': 'First Nations Health and Social Secretariat of Manitoba, Canada.'}, {'lastname': 'Murdock', 'firstname': 'Nora', 'initials': 'N', 'affiliation': 'Fisher River Cree Nation, Canada.'}, {'lastname': 'Enns', 'firstname': 'Jennifer E', 'initials': 'JE', 'affiliation': 'Manitoba Centre for Health Policy, University of Manitoba, Canada.'}, {'lastname': 'Pfau', 'firstname': 'Jamie', 'initials': 'J', 'affiliation': 'University of Manitoba, Canada.'}, {'lastname': 'Durksen', 'firstname': 'Anita', 'initials': 'A', 'affiliation': 'University of Manitoba, Canada.'}, {'lastname': 'Scatliff', 'firstname': 'Colette', 'initials': 'C', 'affiliation': 'University of Manitoba, Canada.'}, {'lastname': 'Prior', 'firstname': 'Heather', 'initials': 'H', 'affiliation': 'Manitoba Centre for Health Policy, University of Manitoba, Canada.'}, {'lastname': 'Walld', 'firstname': 'Randy', 'initials': 'R', 'affiliation': 'Manitoba Centre for Health Policy, University of Manitoba, Canada.'}, {'lastname': 'Turnbull', 'firstname': 'Lorna', 'initials': 'L', 'affiliation': 'Faculty of Law, University of Manitoba, Canada.'}, {'lastname': 'Levasseur', 'firstname': 'Karine', 'initials': 'K', 'affiliation': 'Faculty of Arts, University of Manitoba, Canada.'}, {'lastname': 'Mayer', 'firstname': 'Teresa', 'initials': 'T', 'affiliation': 'Government of Manitoba, Canada.'}, {'lastname': 'Chartrand', 'firstname': 'Jennifer', 'initials': 'J', 'affiliation': 'First Nations Family Advocate Office, Assembly of Manitoba Chiefs, Canada.'}, {'lastname': 'Nash', 'firstname': 'Chris', 'initials': 'C', 'affiliation': 'Government of Manitoba, Canada.'}, {'lastname': 'Decaire', 'firstname': 'Elizabeth', 'initials': 'E', 'affiliation': 'First Nations Health and Social Secretariat of Manitoba, Canada.'}, {'lastname': 'Casiano', 'firstname': 'Hygiea', 'initials': 'H', 'affiliation': 'Department of Psychiatry, University of Manitoba, Canada.'}, {'lastname': 'Bennett', 'firstname': 'Marlyn', 'initials': 'M', 'affiliation': 'Faculty of Social Work, University of Manitoba, Canada.'}, {'lastname': 'Casidsid', 'firstname': 'Hera J M', 'initials': 'HJM', 'affiliation': 'University of Manitoba, Canada.'}, {'lastname': 'Hunter', 'firstname': 'Mikayla', 'initials': 'M', 'affiliation': 'University of Manitoba, Canada.'}, {'lastname': 'Owczar', 'firstname': 'Hannah', 'initials': 'H', 'affiliation': 'Manitoba Centre for Health Policy, University of Manitoba, Canada.'}, {'lastname': 'Brownell', 'firstname': 'Emily', 'initials': 'E', 'affiliation': 'Manitoba Centre for Health Policy, University of Manitoba, Canada.'}, {'lastname': 'Stukel', 'firstname': 'Therese A', 'initials': 'TA', 'affiliation': 'Institute of Health Policy, Management and Evaluation, University of Toronto, Canada.\nICES, Toronto, Canada.'}]","Impact of being taken into out-of-home care: a longitudinal cohort study of First Nations and other child welfare agencies in Manitoba, Canada."
"The human immunodeficiency virus (HIV) pandemic is a global health emergency. Studies suggest a connection between heat shock proteins (HSPs) and HIV-1 infection pathogenesis. This systematic review aims to summarize HSPs' role in HIV-1 infection pathogenesis.
A systematic literature search was undertaken across the National Library of Medicine (MEDLINE-PubMed), Science Direct, Web of Science, Scopus, SpringerLink, Sage, ProQuest, and Google Scholar databases, using related keywords to synthesize the HSPs' role in HIV-1 infection pathogenesis. This literature review was conducted according to Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, and the protocol was registered in the Open Science Framework (OSF) database under DOI 10.17605/OSF.IO/VK3DJ.
A database search revealed 3,332 articles, with 14 
HSPs are crucial for the HIV lifecycle and immune response, offering the potential for new therapeutic strategies. Further research is needed to understand the clinical significance and target potential.","A database search revealed 3,332 articles, with 14 ","[{'lastname': 'Nastiti', 'firstname': 'Chyntia Tresna', 'initials': 'CT', 'affiliation': 'Postgraduate School, Universitas Airlangga, Surabaya, East Java, Indonesia.'}, {'lastname': 'Syakdiyah', 'firstname': 'Noer Halimatus', 'initials': 'NH', 'affiliation': 'Postgraduate School, Universitas Airlangga, Surabaya, East Java, Indonesia.'}, {'lastname': 'Hawari', 'firstname': 'R M Firzha', 'initials': 'RMF', 'affiliation': 'Postgraduate School, Universitas Airlangga, Surabaya, East Java, Indonesia.'}, {'lastname': 'Ophinni', 'firstname': 'Youdiil', 'initials': 'Y', 'affiliation': 'Division of Clinical Virology, Graduate School of Medicine, Kobe University, Kobe, Japan.\nDepartment of Environmental Coexistence, Center for Southeast Asian Studies, Kyoto University, Kyoto, Japan.'}, {'lastname': 'Megasari', 'firstname': 'Ni Luh Ayu', 'initials': 'NLA', 'affiliation': 'Immunology Program, Postgraduate School, Universitas Airlangga, Surabaya, East Java, Indonesia.\nInstitute of Tropical Disease, Universitas Airlangga, Surabaya, East Java, Indonesia.'}]",The role of heat shock proteins in HIV-1 pathogenesis: a systematic review investigating HSPs-HIV-1 correlations and interactions.
